origin_id,destination_id,total_cost
23,1,36.91102799
23,2,46.16713323
23,3,14.09463381
23,4,26.09672929
23,5,62.06026872
23,6,36.61768573
23,7,59.44980108
23,8,42.22066681
23,9,40.5428411
23,10,37.57920362
23,11,33.16584991
23,12,60.13779113
23,13,33.98942183
23,14,35.66892981
23,15,35.84492921
23,16,31.03894727
23,17,36.92370136
23,18,35.65745952
23,19,47.54613678
23,20,33.52960893
23,21,79.57739386
23,22,57.59699934
23,63,27.01062499
23,64,36.15391643
23,65,26.24138201
23,66,37.09610952
23,67,2.436519794
23,68,27.97356718
23,69,30.75733548
23,70,38.77156717
23,71,30.2779551
23,72,33.79437991
23,73,37.39986972
23,74,29.99442569
23,75,45.31534369
23,76,27.06519855
23,77,30.13655764
23,78,26.14617948
23,79,32.54435725
23,80,31.61665742
23,81,32.37076583
23,82,23.29260684
23,83,22.50039735
23,84,33.12609168
23,85,31.17487239
23,86,33.39349325
23,87,53.24339967
23,88,30.23049145
23,89,30.85179981
23,90,31.65519336
23,91,17.62620438
23,92,41.34660237
23,93,35.13152651
23,94,18.61320964
23,95,48.14578931
23,96,29.91842963
23,97,33.55786401
23,98,43.2498528
23,99,39.44235486
23,100,36.74551039
23,101,27.75849568
23,102,29.5094269
23,103,30.70634272
23,104,21.45809743
23,105,19.76963375
23,106,47.95996586
23,107,59.46850389
23,108,36.04279518
23,109,19.01250262
23,110,30.88300818
23,111,77.12947786
23,112,33.45597353
23,113,36.37728849
23,114,26.84953241
23,115,60.87386802
23,116,39.82258784
23,117,64.94359638
23,118,33.06324763
23,119,21.08686243
23,120,31.73738608
23,121,24.93881481
23,122,40.55799521
23,123,30.3880228
23,124,46.19244187
23,125,30.89070125
23,126,36.97678232
23,127,38.74994976
23,128,25.6861173
23,129,32.67695441
23,130,25.78618192
23,131,33.35440166
23,132,43.32733655
23,133,36.92502551
23,134,36.61146509
23,135,65.08919682
23,136,59.05890774
23,137,36.97510037
23,138,29.3673846
23,139,65.79934875
23,140,29.80945488
23,141,30.6230395
23,142,40.56175127
23,143,36.5885684
23,144,56.83408814
23,145,29.8798307
23,146,30.93329975
23,147,56.96508502
23,148,33.36545998
23,149,60.66018366
23,150,30.77261479
23,151,18.57474325
23,152,36.73850124
23,153,52.37949063
23,154,27.55892299
23,155,22.5573735
23,156,31.50639248
23,157,33.01331395
23,158,29.70157925
23,159,31.79994664
23,160,42.49812342
23,161,40.90956
23,162,14.11535031
23,163,57.98270505
23,164,59.48914759
23,165,55.47053173
23,166,31.0336714
23,167,39.20909428
23,168,40.57379788
23,169,55.90987167
23,170,55.51765925
23,171,33.64269749
23,172,31.39810012
23,173,30.20741268
23,174,33.24303011
23,175,32.61590445
23,176,30.73024888
23,177,19.02787973
23,178,21.13840665
23,179,57.73690912
23,180,37.10266798
23,181,31.42337848
23,182,36.22825029
23,183,32.73316419
23,184,13.19320273
23,185,42.81318068
23,186,31.08690221
23,187,38.67430142
23,188,33.07333529
23,189,46.00283727
23,190,62.17115741
23,191,33.46864311
23,192,59.83117953
23,193,30.62959466
23,194,24.86492154
23,195,3.440433807
23,196,23.5350275
23,197,45.74267779
23,198,11.23173308
23,199,27.73071327
23,200,32.6764984
23,201,47.46901078
23,202,72.58216034
23,203,55.10433046
23,204,27.70083181
23,205,30.69237874
23,206,33.43504826
23,207,86.77450016
23,208,48.31136104
23,209,30.29677606
23,210,57.44469038
23,211,97.96952896
23,212,88.05801911
23,213,24.80508777
23,214,31.75130479
23,215,26.39645714
23,216,37.77340559
23,217,48.6889965
23,218,52.63765831
23,219,78.90738672
23,220,27.16963947
23,221,77.19833074
23,222,24.06843747
23,223,79.1563205
23,224,25.5695053
23,225,25.46887064
23,226,44.16221765
23,227,25.78711338
23,228,46.42732661
23,241,61.45901966
23,242,60.29183904
23,243,65.82158256
23,244,49.46041736
23,245,48.65060362
23,246,41.78460145
23,247,42.02048583
23,248,44.55607351
23,249,41.05014911
23,250,37.64213192
23,251,34.39766153
23,252,35.17474938
23,253,40.12505001
23,254,50.10942573
23,255,40.74092085
23,256,28.38113286
23,257,29.56655059
23,258,27.53224751
23,259,34.39805482
23,260,36.78688477
23,261,31.66883773
23,262,49.27110433
23,263,64.64595758
23,264,37.33639119
23,265,44.53358039
23,266,36.35751152
23,267,41.41914075
23,268,38.37034226
23,269,40.09768357
23,270,37.17884471
23,271,37.95284236
23,272,34.90156131
23,273,35.00696723
23,274,36.0274644
23,275,79.12046327
23,276,75.00250638
23,277,85.26057658
23,278,30.59153114
23,279,32.8886724
23,280,31.34880003
23,281,29.41873065
23,282,34.3622891
23,283,23.17784144
23,284,20.8332589
23,285,19.21362129
23,286,25.62098112
23,287,24.85933264
23,288,21.12526822
23,289,24.55398584
23,290,19.47255509
23,291,4.988401019
23,292,22.65774857
23,293,31.29333439
23,294,56.51184273
23,295,52.62652396
23,296,44.62957438
23,297,49.36848276
23,298,47.17370958
23,299,27.28021095
23,300,26.8287588
23,301,27.47827248
23,302,27.34873871
23,303,30.09311165
23,304,26.07023077
23,305,26.33013603
23,306,36.94361503
23,307,35.84773488
23,308,37.42213217
23,309,37.43298484
23,310,37.74571681
23,311,40.52487779
23,312,38.49955588
23,313,40.63364295
23,314,44.1361787
23,315,33.92837534
23,316,33.16419961
23,317,29.91375032
23,318,35.89605301
23,319,32.21532542
